Model,ROC AUC,Accuracy,Time (s)
RandomForest with StandardScaler,0.8337037037037036,0.7467532467532467,0.02648162841796875
RandomForest with RobustScaler,0.8331481481481481,0.7402597402597403,0.01459956169128418
RandomForest with MinMaxScaler,0.8322222222222222,0.7467532467532467,0.06804156303405762
XGBoost with RobustScaler,0.8114814814814815,0.7727272727272727,0.007776021957397461
XGBoost with StandardScaler,0.8114814814814815,0.7727272727272727,0.0077588558197021484
XGBoost with MinMaxScaler,0.8114814814814815,0.7727272727272727,0.007002592086791992
SVM with MinMaxScaler,0.8066666666666666,0.7272727272727273,0.012044429779052734
SVM with RobustScaler,0.8033333333333333,0.7467532467532467,0.01874518394470215
LogisticRegression with RobustScaler,0.7983333333333332,0.7077922077922078,0.0
LogisticRegression with StandardScaler,0.7968518518518518,0.7077922077922078,0.0
LogisticRegression with MinMaxScaler,0.7966666666666667,0.7012987012987013,0.0
GradientBoosting with RobustScaler,0.7938888888888889,0.7272727272727273,0.015928268432617188
GradientBoosting with MinMaxScaler,0.7938888888888889,0.7272727272727273,0.0
KNN with RobustScaler,0.7938888888888889,0.7012987012987013,0.00744175910949707
GradientBoosting with StandardScaler,0.7937037037037037,0.7337662337662337,0.0
SVM with StandardScaler,0.7889814814814814,0.7207792207792207,0.016195058822631836
KNN with StandardScaler,0.7837962962962963,0.7272727272727273,0.012094974517822266
KNN with MinMaxScaler,0.7594444444444445,0.6948051948051948,0.010234832763671875
